id;f_0;f_1;f_2;f_3;f_4;f_5;f_6;f_7;f_8;f_9
018d97d1bc9b4ba78949fc7af9352992;I;0.315;0.23;800.0;0.1375;0.0545;0.031;0.0445;SHORT;1.579805
7a29f94e5c4648708004e0e35e69b0a4;F;0.69;0.54;1950.0;1.25;0.73;0.3975;0.462;SHORT;4.2400312499999995
2933cc9bc3a24aee982702b0d88cd90b;I;0.18;0.125;350.00000000000006;0.0265;0.0095;0.0055;0.0085;SHORT;0.5400907500000001
cab7f051c28f46ea8de2d2362d0dc3fa;I;0.35;0.27;750.0;0.215;0.1;0.036;0.065;SHORT;1.405184
a473e496a09c48a1bffc0d0112d6f130;M;0.59;0.445;1400.0000000000002;0.931;0.356;0.234;0.28;SHORT;1.289512
d110a978b3324dba8c6ac18ff6a18c40;F;0.555;0.425;1400.0000000000002;0.788;0.282;0.1595;0.285;SHORT;2.9022012500000005
993d6e30c4944219ae9636c1e02352fe;M;0.59;0.47;1550.0;1.1735;0.6245;0.233;0.2595;SHORT;1.288578
9160197efa3547d4ae3fea0cf19d0215;I;0.295;0.215;700.0000000000001;0.121;0.047;0.0155;0.0405;SHORT;1.180961
dbc5e81a4aa34b57bc9adc086f153280;F;0.5;0.37;1350.0;0.45;0.1715;0.1055;0.155;SHORT;2.044521
36f61fb0ccf24a12b3ad6b1d0cb2cbc6;M;0.6;0.465;2000.0;1.259;0.6405;0.1985;0.357;SHORT;1.91820675
a3e1f852467f40ce9c24578f38454a5d;M;0.625;0.47;1800.0;1.136;0.451;0.3245;0.305;SHORT;1.4606005
00931899fb444a26bbdc634e5496543e;F;0.655;;2200.0;1.359;0.642;0.3255;0.405;SHORT;3.043801
d5ea7e98375a455ba2386ba6977e7b81;M;0.18;0.125;500.0;0.023;0.0085;0.0055;0.01;SHORT;0.5400907500000001
6199216b0b9e4d10b7cfc72262ca0751;F;0.595;0.465;1500.0;1.0255;0.412;0.2745;0.289;SHORT;2.681401
116b3878cade4a4a80ec5506cbdff485;F;0.62;0.475;1600.0;1.45;0.6865;0.233;0.3275;SHORT;1.348578
a756908c56b84c309f538c229b2e8b78;F;0.525;0.405;1600.0;0.658;0.2655;0.1125;0.225;SHORT;1.0753125000000001
62d6ff2a6591409e97ae7f2f9e05e9d4;M;0.68;0.52;1750.0;1.543;0.7525;0.351;0.374;TALL;4.016005
d1bdf4edfa6f4f7abe0f12723be924d6;F;0.605;0.475;1750.0;1.382;0.609;0.2325;0.3985;SHORT;2.636225
32deeed529574547988fd7d486d883a4;F;0.51;0.39;1350.0;0.6335;0.231;0.179;0.2;SHORT;1.084082
952de26dd1bf486e955b190ed463c98e;I;0.52;0.395;1450.0;0.77;0.424;0.142;0.1895;SHORT;1.080328
7a114609004647e7b8b594338ab63cbe;M;0.555;0.435;1350.0;0.858;0.377;0.1585;0.29;SHORT;1.7403667500000002
79b32496a9b8410e841bea197da39a1a;F;0.565;0.445;1550.0;0.826;0.341;0.2055;0.2475;SHORT;3.0361512499999996
67bbe55c954e4d139400f8be52b51c09;F;0.525;0.43;1350.0;0.8435;0.4325;0.18;0.1815;SHORT;2.96
abff92b4d7f949f5935c4d06b6da815d;I;0.275;;650.0;0.106;0.054;0.02;0.028;SHORT;1.3770000000000002
5f334aaf4eae41b4b906544a8bd4a062;F;0.63;0.495;1450.0;1.147;0.5455;0.266;0.2885;SHORT;2.102268
974d5b586aa742f38b0bbb6a799326ac;I;0.545;0.425;1400.0000000000002;0.8145;0.305;0.231;0.244;SHORT;2.393444
b73ef00484b84ae59e87e565e93a31d0;F;0.6;0.5;1550.0;1.332;0.6235;0.2835;0.35;SHORT;2.04111675
d5e96f1acde74a0ab1b0ee2411c3634e;M;0.565;0.455;1700.0000000000002;0.9065;0.342;0.156;0.32;SHORT;1.768008
ad38c43e78254bb394660966ae26dc96;M;0.63;0.51;2300.0;1.539;0.5635;0.2815;0.57;TALL;2.12772675
e11b695eedd04ce9bfb86022c7874184;I;0.515;0.385;1250.0;0.6115;0.3175;0.1265;0.15;SHORT;2.124009
a3a99920fc4944f6b65e5f624bd23851;F;0.645;0.52;1700.0000000000002;1.197;0.526;0.2925;0.317;SHORT;1.4611125
f381804bcc3e4bed8f97df6f8a79e8b2;F;0.53;0.405;1300.0;0.6355;0.2635;0.1565;0.185;SHORT;1.66347675
5e75e146c38b4582a773740e7d20dc07;I;0.37;0.28;1000.0;0.221;0.1165;0.0265;0.0635;SHORT;0.7414045
abc9a852ad89478bb2fefb3ce9bf766f;M;0.66;0.505;1650.0;1.374;0.589;0.351;0.345;SHORT;1.566402
f9a4818c254f49088def66156d4c2d91;M;0.765;0.585;1800.0;2.398;1.128;0.512;0.5335;TALL;5.13572
9a8d62008daf45b9bb9fac95f850ce61;M;0.57;0.46;1700.0000000000002;0.9035;0.4075;0.1935;0.214;SHORT;1.8223267499999998
6a18aa7118e24ff691a5260ae1cb1912;M;0.495;;1350.0;0.6295;0.263;0.1425;0.215;SHORT;2.57653125
238ff6d2dc304d2aa1b87bd7a6af750d;I;0.565;0.43;1250.0;0.6545;0.2815;0.139;0.21;SHORT;1.168642
64065c6fcb724c72a0b10aea98876b48;I;0.175;0.13;550.0;0.0315;0.0105;0.0065;0.0125;SHORT;0.7001689999999999
72a3ee2789d74f1085bdfa61d0d1ef0e;M;0.46;0.355;1400.0000000000002;0.491;0.207;0.115;0.174;SHORT;1.419675
fc995be77f3045db911f0a077a19fb5d;F;0.51;0.4;1200.0;0.7005;0.347;0.1105;0.195;SHORT;1.0444205
bb681d7c368446c187b3afa0633ad251;M;0.585;;1550.0;0.9145;0.4555;0.1965;0.235;SHORT;1.87083675
636079d7bec04c9dba5ce616845586ba;F;0.585;0.45;1600.0;1.077;0.4995;0.2875;0.25;SHORT;1.3353125
ef5457f5a7294df18379d06347e1db98;I;0.445;0.345;1300.0;0.4075;0.1365;0.0645;0.18;SHORT;2.24580125
080501744ab04f288068b1def56acf90;F;0.62;0.51;1800.0;1.233;0.592;0.274;0.322;SHORT;1.390152
0db34269e0614a3f93b6144420b94276;I;0.525;0.4;1300.0;0.6455;0.325;0.1245;0.17;SHORT;1.62150075
a2c4a4f2d791492c9c940613d588d9fd;I;0.5;0.395;1450.0;0.7865;0.332;0.1815;0.2455;SHORT;2.131769
e882e63c8198466e81055eb35bac62f7;F;0.515;0.43;1400.0000000000002;0.834;0.367;0.2;0.23;SHORT;1.665
bfce3e95eb794472877aeaca215e0c59;I;0.635;0.48;2000.0;1.55;0.6255;0.2595;0.425;SHORT;2.10702075
e3e70e50fe8646ba977a3931ae542c61;F;0.56;;1550.0;0.9705;0.4315;0.263;0.255;SHORT;2.5166760000000004
e0351dcad0ae42e0a35cfcc2c382d644;M;0.565;0.435;1850.0;0.9815;0.329;0.136;0.39;SHORT;2.9174799999999994
0ec06b26d34a474d95e65ca2bcc02116;I;0.295;;700.0000000000001;0.126;0.0515;0.0275;0.035;SHORT;0.88726875
ad281fad80ac4151b3e3d2627b6fbf9f;M;0.58;0.47;1650.0;0.9975;0.3935;0.242;0.33;SHORT;2.5542559999999996
de7effa848b6435e831910d226d3200b;F;0.56;0.41;1600.0;0.8215;0.342;0.184;0.253;SHORT;1.187712
ca499affa55443278b60545cf1426af5;M;0.56;0.44;1600.0;0.8645;0.3305;0.2075;0.26;SHORT;3.01528125
6217468cf4fe41c8adaffb4a2dede63c;M;0.505;0.41;1250.0;0.642;0.289;0.133;0.155;SHORT;2.6134449999999996
5b15ae37c2bd42efab9430bc6c18f602;M;0.62;0.495;1750.0;1.806;0.643;0.3285;0.725;TALL;3.6395612500000003
f1868090fa794a9498ef203ae8b4ef34;I;0.54;0.425;1350.0;0.686;0.3475;0.1545;0.213;SHORT;1.1277405
911747d82cc34e7e99adf2901de845cc;F;0.485;0.37;1150.0;0.4785;0.1995;0.0955;0.129;SHORT;0.9882405
f0a323ee52cf41e79746e25a16b11dc1;M;0.625;0.47;1750.0;1.179;0.605;0.258;0.271;SHORT;3.45782
7921aa32ec604ba4a226997493a95f18;I;0.425;;900.0;0.301;0.1385;0.065;0.08;SHORT;1.287675
b2cd0cb130db43929b2bd592350cfe04;M;0.505;0.385;1300.0;0.6435;0.3135;0.149;0.1515;SHORT;2.108804
934f9773bc91432ab0dd83d8b3cdbd28;M;0.6;;1850.0;1.1145;0.5055;0.2635;0.367;SHORT;2.00829675
4a4ee8afc89a4f2f9bd2a2a6ab2e89b7;M;0.745;0.565;2150.0;1.931;0.896;0.4585;0.5;TALL;3.820889
6983d75f151641c59ed977727b7a4419;M;0.63;0.495;1750.0;1.95;0.605;0.271;0.328;SHORT;3.5172049999999997
6175a2f4dbba430aabb39127ac262265;I;0.5;;1200.0;0.616;0.261;0.143;0.1935;SHORT;2.0817959999999998
779a0c015a924783a39368f73c544e32;I;0.37;0.29;800.0;0.2545;0.108;0.0565;0.07;SHORT;0.7463845
abeb12e7e8db4ce4a40cf39e4d8300d5;I;0.495;0.38;1350.0;0.5095;0.2065;0.1165;0.165;SHORT;1.0171445
b06465fc778c4683a9938398d7dce888;M;0.64;0.515;1650.0;1.369;0.632;0.3415;0.358;SHORT;2.2698667500000003
aced1908cb784a6a890049a28bb44d0e;M;0.625;0.495;1750.0;1.75;0.531;0.281;0.3525;SHORT;1.4079220000000001
109fb377c95c4e88b8176d6cf720cf28;M;0.61;;1500.0;1.103;0.425;0.2025;0.36;SHORT;1.95301875
71f745c63ff64f05a7ca972ffa410cb9;M;0.66;0.505;1900.0;1.85;0.6775;0.285;0.178;SHORT;1.48245
faef89853cf74c60821cedafcd0af1a7;F;0.455;0.36;1100.0;0.4385;0.206;0.098;0.125;SHORT;1.858416
26dafeb2e82147059fe31d105d066396;I;0.515;0.4;1350.0;0.636;0.3055;0.1215;0.1855;SHORT;1.0595245
0433fc3ef19a4369a6f134e38b609c42;M;0.66;0.525;1800.0;1.478;0.5815;0.381;0.372;SHORT;1.610322
1bba31d7223745208562dc1fceb408f9;F;0.535;0.45;1350.0;0.8075;0.322;0.181;0.25;SHORT;1.1355220000000001
7053a1b8795a4004839ac78f5de43adc;F;0.46;;1250.0;0.4785;0.206;0.1045;0.141;SHORT;1.8836810000000002
c802d1cf22e047bba6f4bb622f425f49;I;0.46;;1000.0;0.4635;0.2325;0.093;0.115;SHORT;1.8745960000000002
1e0268eb42ff4d7da78a1f7db99c9ee2;M;0.59;0.455;1450.0;1.073;0.475;0.19;0.285;SHORT;1.22
00ea44170d1f40d6bac975ed9dc899d0;M;0.615;0.47;1750.0;1.242;0.5675;0.287;0.317;SHORT;2.092107
f1f1e9ab441648b0a12015be1dff213b;I;0.455;0.375;1250.0;0.533;0.233;0.106;0.185;SHORT;0.9324720000000001
e5740bc74d8e4f3bb651d99da56adcaa;M;0.695;0.53;1900.0;1.726;0.7625;0.436;0.455;TALL;2.6552879999999996
495912c6deb941dca061e924e2072f87;I;0.385;0.305;950.0;0.252;0.0915;0.055;0.09;SHORT;1.164075
e94087866a994da8bb1048f08a90866a;I;0.53;0.425;1300.0;0.781;0.3905;0.2005;0.215;SHORT;2.8510012500000004
bb4226716512479284a30e5e66ea9f2c;F;0.63;0.5;1800.0;1.65;0.514;0.2325;0.3995;SHORT;2.736225
a2a5e89cbc7d4acc9957ac694a0ce2f4;I;0.435;0.335;1000.0;0.3245;0.135;0.0785;0.098;SHORT;1.764649
142c461e356f404cb7cd095b1a50f58f;M;0.465;;1200.0;0.5315;0.2725;0.097;0.1395;SHORT;0.948818
3508109dee7442608b7436af860e304b;M;0.335;0.26;750.0;0.22;0.0855;0.04;0.085;SHORT;1.683
cf040badc6f648c78fb298eda100ddf2;F;0.7;0.555;2200.0;1.666;0.647;0.4285;0.455;TALL;2.65083675
e7395a7344d14efda27c71c8f4effd8a;M;0.76;0.605;2150.0;2.173;0.801;0.4915;0.646;TALL;3.00471675
6fdfe84cddb3444bb2e01fd7e10d43ed;I;0.28;0.21;750.0;0.1195;0.053;0.0265;0.03;SHORT;1.1228090000000002
8c1b531b1ca94e76ad36fb42eb407c53;F;0.405;0.325;1100.0;0.3575;0.145;0.0725;0.11;SHORT;1.6410250000000002
439fd8bd9ac4438bad02eecaca54291e;I;0.56;0.445;1550.0;0.8735;0.3005;0.209;0.275;SHORT;1.8110430000000002
54e6eb9f1626468bb60ebd2f741d36f1;M;0.71;0.54;1650.0;1.959;0.7665;0.261;0.78;TALL;3.112484
b322390db9b546afb054663d01f3b333;M;0.62;;1950.0;1.45;0.579;0.346;0.5195;TALL;3.69858
a991c4f6ac924ba2be9f981c0a4bc6bf;M;0.26;0.2;650.0;0.096;0.044;0.027;0.03;SHORT;0.521458
c689a924329e46508edce1029b53ee19;F;0.62;0.54;1650.0;1.139;0.4995;0.2435;0.357;SHORT;3.39646125
b075b3ebb12444bb9e831298a21820c3;M;0.71;0.565;2000.0;1.601;0.706;0.321;0.45;TALL;2.439123
3c4bec2bc16f4f799229bb20b7d49234;I;0.315;0.21;600.0;0.125;0.06;0.0375;0.035;SHORT;0.94921875
1e9452d2490c478792b65793beaa037b;M;0.58;0.45;1750.0;1.068;0.425;0.203;0.32;SHORT;3.106045
8c1f4548068b46639cfc5fb395e0062b;I;0.35;0.25;750.0;0.1695;0.0835;0.0355;0.041;SHORT;1.05378075
92904bf6ad3449708bd1e1c7121ccdeb;M;0.62;0.465;1450.0;0.911;0.375;0.2145;0.278;SHORT;1.99803075
041fda1fff6b4bfcbfbec38f7303afd2;M;0.465;0.375;1100.0;0.5;0.21;0.113;0.1505;SHORT;1.433307
fb0a6c688e2c4323895cb1733c835fd2;F;0.36;0.265;900.0;0.2165;0.096;0.037;0.0735;SHORT;0.722738
9fb07db9acdf4faaa8fe2b3da4639ecf;F;0.56;0.43;1250.0;0.8025;0.313;0.1715;0.263;SHORT;1.7682367500000002
a89c7beb50fb46d9a6a52d37470c23b9;F;0.515;0.405;1200.0;0.646;0.2895;0.1405;0.177;SHORT;2.138961
a46cf018a49f40efb0101b91df0112dd;F;0.63;0.48;1600.0;1.199;0.5265;0.335;0.315;SHORT;2.89
631100fc52d44022b660e8dade4af7d9;M;0.68;0.54;1550.0;1.534;0.671;0.379;0.384;TALL;4.118205000000001
c50b23c7b1424055abba82e26aa24a05;F;0.62;0.505;1600.0;1.25;0.6285;0.275;0.3685;SHORT;1.39125
acf3e129ed2a48f9bd4574ac1cc765e8;I;0.255;0.19;500.0;0.083;0.0295;0.0215;0.027;SHORT;0.76638675
bfcb4119d12d4511aff2728be9b7994e;M;0.59;0.475;1450.0;1.053;0.4415;0.262;0.325;SHORT;2.634576
27e9bce8e3e84ddba7f8d8b691c58ef5;F;0.69;0.53;1700.0000000000002;1.35;0.7945;0.3485;0.3695;TALL;2.4343567499999996
5330744958ca40d98e1786e5e830b760;F;0.62;0.51;1750.0;1.05;0.5415;0.323;0.3225;SHORT;2.897316
12039466a6b249a380b105bbf412d9b4;I;0.24;0.17;500.0;0.0545;0.0205;0.016;0.0155;SHORT;1.20128
0574d9ea407349008826bb62cbf20495;I;0.475;0.35;1250.0;0.4225;0.1905;0.079;0.1355;SHORT;1.4437229999999999
0dfc8f943c91400dac8c33f1a5fa7250;I;0.355;0.255;800.0;0.187;0.078;0.0505;0.058;SHORT;1.78775125
ee0a18d5383643fb83dc0cf6c3812668;I;0.455;0.345;1100.0;0.434;0.207;0.0855;0.1215;SHORT;1.8492410000000001
145ea85828834779b2881e36e88f9eba;I;0.54;0.42;1400.0000000000002;0.6275;0.2505;0.1175;0.235;SHORT;2.7690312500000003
f7ab9f8c607943a38f37c9d6b51d4e24;I;0.42;0.345;1150.0;0.3435;0.1515;0.0795;0.115;SHORT;1.27896075
4607fefb89664804ae27effa4ed219e4;M;0.565;;1850.0;0.909;0.344;0.2325;0.255;SHORT;1.2381125
dd6b92c6829d489087ee6af1276db3b0;I;0.47;0.375;1200.0;0.487;0.196;0.099;0.135;SHORT;0.959602
05aebcbe819944e0bf95b1f0a5af47f0;F;0.625;0.515;1550.0;1.1635;0.4875;0.259;0.355;SHORT;2.076243
22e0c9bb476b4011a2ef4c83c71782bb;M;0.555;0.44;1350.0;0.9025;0.3805;0.2105;0.28;SHORT;2.397241
2f9da3babbca463483f2acab892893a0;M;0.765;0.6;2200.0;2.302;1.007;0.509;0.6205;TALL;4.096324
cd449706a2ca4fb2922a60d74642e54c;I;0.45;0.35;1300.0;0.547;0.245;0.1405;0.1405;SHORT;1.40922075
e5c16659a22e4e7ab67ccaa3bb1675c4;M;0.635;0.525;1600.0;1.195;0.5435;0.246;0.335;SHORT;2.782064
aef8092b2b0a4ad68cf6bbd0a5384525;F;0.72;0.575;2150.0;2.226;0.8955;0.405;0.62;TALL;3.5361000000000002
80d56cecc86145c98357829927770f53;F;0.64;0.48;1450.0;1.1145;0.508;0.24;0.34;SHORT;3.488
9680780731e8448b80769464518453ab;F;0.61;0.47;1650.0;1.1785;0.566;0.2785;0.294;SHORT;2.750249
62bf63163c5b4085b7cd20b6eb5540a2;F;0.61;0.48;1750.0;1.0675;0.391;0.216;0.42;SHORT;3.28328
1e38d13196c742199c10554cb3c91c70;I;0.55;;1650.0;0.8605;0.312;0.169;0.3;SHORT;2.8928050000000005
cd9c3cae7fde4d02a15f159af6c950b1;M;0.49;0.395;1400.0000000000002;0.549;0.2215;0.1275;0.15;SHORT;2.5312812499999997
c57810bc4baf4a9d95e7de7899c106ef;F;0.64;0.5;1700.0000000000002;1.12;0.4955;0.2645;0.32;SHORT;2.12988075
10a21265eac44b268fc2d9b47e1d4bb7;I;0.46;0.35;1100.0;0.4;0.176;0.083;0.1205;SHORT;0.933778
29e6ccdab390420da176af947f7e8ccc;M;0.59;0.47;1450.0;0.9235;0.4545;0.173;0.254;SHORT;2.479716
12b444c17dee4b23921a1b5734ae650a;I;0.21;0.15;550.0;0.0455;0.02;0.0065;0.013;SHORT;0.42008449999999997
2ec51565127f46ef97316ff62f4c940c;F;0.395;0.315;1050.0;0.3515;0.1185;0.091;0.1195;SHORT;1.209843
193707d9812a4cfd96bdadc21308a488;I;0.325;0.25;550.0;0.166;0.076;0.051;0.045;SHORT;0.9828030000000001
c4dedec65d29476d94003bc712bb0dec;M;0.605;0.475;1400.0000000000002;1.1175;0.555;0.257;0.274;SHORT;1.342098
5af0c0aa34e7467a820e0063f3af5c23;M;0.71;0.555;1950.0;1.85;0.9455;0.3765;0.495;TALL;4.25876125
03d30f8306934a7d9529d1c0b10b311b;I;0.37;0.29;900.0;0.2445;0.089;0.0655;0.075;SHORT;1.87145125
61a68d28227746e88008776820a68eeb;M;0.545;0.39;1350.0;0.7835;0.4225;0.1815;0.156;SHORT;2.311769
27acd737e9cc4bfebc01658a1d7d53db;I;0.14;0.105;350.00000000000006;0.014;0.0055;0.0025;0.004;SHORT;0.5600250000000001
c7b54e358183442996c5011691f8d384;I;0.435;0.325;1050.0;0.335;0.136;0.065;0.115;SHORT;2.196125
0fa2e06f98a146349ab5cfb63447a176;F;0.72;0.525;1800.0;1.445;0.631;0.3215;0.435;SHORT;3.293449
7425a9ad434a4525b55d20ec3c0a0bf3;M;0.645;0.51;1900.0;1.45;0.605;0.345;0.48;SHORT;3.820125
24000ebcfed54cfdbfecdf767135c5cc;I;0.415;0.31;1100.0;0.2965;0.123;0.057;0.0995;SHORT;0.836498
fbc5edf7fcc24f75a34acbbebca62640;F;0.735;;2200.0;2.555;1.1335;0.44;0.6;TALL;1.72
b68acf4775d940568f27e31c3b60ba56;M;0.625;0.495;1550.0;1.025;0.46;0.1945;0.34;SHORT;1.98849075
e53f16e062964b41b04c7a548ce063fd;M;0.375;0.29;1000.0;0.276;0.1175;0.0565;0.085;SHORT;1.8909612500000001
1e0a1661a83b450ab595b9f7a0042088;I;0.53;;1100.0;0.5745;0.2525;0.1235;0.189;SHORT;2.181009
5511083a23ef4872b5c70f7260c350dc;M;0.475;0.395;1350.0;0.592;0.2465;0.1645;0.2;SHORT;1.0041205
f2c4984bb81a45da90ec15cc6868ea01;M;0.655;0.59;2000.0;1.55;0.654;0.3765;0.415;TALL;1.5935045
093fc91888ce4a96a175bec1802f4648;M;0.605;0.455;1600.0;1.1215;0.533;0.273;0.271;SHORT;2.718116
eaa3d3688aa54d5a9e5922d9b055376b;I;0.525;0.395;1200.0;0.608;0.297;0.1395;0.1405;SHORT;1.0889205
1af1db927fac4182960cf6154ecc997b;M;0.41;0.31;1250.0;0.3595;0.1415;0.0885;0.115;SHORT;0.8356644999999999
f7145d1c230b4fbfaa13273eb4d426bc;M;0.48;0.37;1300.0;0.643;0.349;0.1155;0.135;SHORT;1.48002075
a03f8cd3ad2940f9b864978354fe9ef3;M;0.595;0.475;1600.0;1.75;0.408;0.234;0.58;SHORT;3.24878
6f98140798e64d46a1ecb8b5c8aa4cd3;F;0.695;0.55;1550.0;1.95;0.767;0.442;0.4175;TALL;3.5614559999999997
0ccc87c6c1b249da8284ce9ebe67b21b;M;0.605;0.47;1150.0;1.114;0.3925;0.291;0.31;SHORT;1.379362
9b232c36321c44cdac5750384512e4ab;M;0.645;0.505;1650.0;1.307;0.4335;0.262;0.52;SHORT;1.4272880000000001
5c19e59ffc7943b1814302baac0454a7;M;0.65;;1250.0;1.1805;0.5235;0.283;0.3275;SHORT;1.460178
e38c5afd496942e7ba973955baa47b3f;F;0.63;0.515;1600.0;1.336;0.553;0.3205;0.35;SHORT;2.19816075
9f8c7490774a42a4aef45889daf84321;I;0.135;0.13;400.0;0.029;0.0125;0.0065;0.008;SHORT;0.2700845
2f768d851dcc4f2a8b072ac6126c0559;F;0.54;0.42;1450.0;0.8655;0.4315;0.163;0.2175;SHORT;1.133138
d2ed37ca7c21410e9628c858adbd6675;;0.66;0.475;1800.0;1.95;0.641;0.294;0.335;SHORT;2.239308
d8bc26b18ece4e03bf2c385b0af694ca;M;0.345;0.265;900.0;0.163;0.0615;0.037;0.0485;SHORT;1.7318449999999999
8d6d72179d004def8b039daf483b8924;M;0.5;0.42;1250.0;0.62;0.255;0.15;0.205;SHORT;1.045
9f935cc9b67f4865bfeeb897661d3c24;I;0.43;0.34;1050.0;0.4405;0.2385;0.0745;0.1075;SHORT;1.30665075
098ca137e8e345bbb18a931e72018456;F;0.585;0.47;1700.0000000000002;1.099;0.3975;0.2325;0.358;SHORT;2.556225
c91ad837b88147e686554aa020c7526c;M;0.615;0.495;1550.0;1.65;0.435;0.293;0.3245;SHORT;3.5042449999999996
1717ef3e476f4a259d9f70ef0eb180c6;M;0.615;0.49;1700.0000000000002;1.145;0.4915;0.208;0.343;SHORT;2.633056
ba1315985b834f77b6e9dc5b43296e08;F;0.55;0.425;1250.0;0.964;0.5475;0.159;0.215;SHORT;1.7258430000000002
e71c3c6000e5415fa7664d13545e8cc7;F;0.5;0.375;1150.0;0.5945;0.185;0.148;0.19;SHORT;2.087616
c7a70dcec8a849f9b86259d3287bad52;M;0.445;0.355;1100.0;0.4415;0.1805;0.1035;0.1505;SHORT;1.822849
bcd2286b283b4fc4a144b0590a3d7d56;M;0.595;0.455;1550.0;1.041;0.416;0.2105;0.365;SHORT;2.557241
66affeee51b04a158e979ff8c6196e69;M;0.515;0.35;1550.0;0.9225;0.4185;0.198;0.273;SHORT;2.77102
d9686fd7c8af44309614ea84e654f1ce;F;0.575;0.43;1550.0;0.7955;0.3485;0.1925;0.22;SHORT;3.06028125
7cf14beb8cab403a877fba8e967774cd;M;0.5;;1200.0;0.6335;0.2305;0.125;0.235;SHORT;2.578125
aa245b16d0204873becba3d5b1d25a02;M;0.36;0.27;1000.0;0.217;0.0885;0.0495;0.0715;SHORT;1.8122512499999999
6e9c2f8aeb7846078c851c1456b17211;F;0.725;;1850.0;1.523;0.8045;0.3595;0.4375;TALL;1.7084804999999998
beb910f624f049bd98de86c4f3437938;F;0.625;0.48;2000.0;1.35;0.6075;0.3055;0.355;SHORT;2.1549907499999996
d38ecec02d8547c397e1e87d3b81f5fb;I;0.56;0.445;1650.0;1.0285;0.4535;0.253;0.275;SHORT;1.872027
af3df9f47b9c44918ecb8748763973b7;I;0.44;0.345;1200.0;0.487;0.1965;0.108;0.16;SHORT;0.903328
63af7ecadd274533ae0220c2a46c86de;F;0.38;0.305;950.0;0.2815;0.1255;0.0525;0.09;SHORT;0.7655125
7fe5699d19fb41a4ae99a115b4b47d72;F;0.58;0.45;1500.0;0.92;0.393;0.212;0.2895;SHORT;2.4997759999999998
40c52f1395ca4ff3915152824f634805;M;0.43;0.345;1150.0;0.3045;0.0925;0.055;0.12;SHORT;2.1651249999999997
dd16ed015ad9447a9e767f9ef42987c4;F;0.405;0.325;1100.0;0.3555;0.151;0.063;0.117;SHORT;1.635876
43dfdfd9137c4725b8da6bc90545244c;M;0.68;0.545;1850.0;1.672;0.7075;0.364;0.48;TALL;3.2499840000000004
32ad6ee8b2ba4dffbc9b15ae24c699c4;M;0.63;0.485;1450.0;1.062;0.5065;0.1785;0.3365;SHORT;2.647449
884e66cd63f548b19447845e68c8b411;M;0.695;0.55;2200.0;1.15;0.566;0.3835;0.445;TALL;2.5262167499999997
9551dca372d249dbacc4b2315c550874;F;0.7;;2000.0;1.65;0.7755;0.3965;0.461;TALL;4.28606125
c44c0f0789734c57b74c944ecfa8995a;I;0.53;0.38;1250.0;0.616;0.292;0.113;0.185;SHORT;2.1710760000000002
06910057206a499885d916b33bb635ad;I;0.48;0.38;1250.0;0.6245;0.3395;0.1085;0.1665;SHORT;2.45886125
554be45ee3af4ed38d5f39a2587f2aab;M;0.315;0.25;900.0;0.203;0.0615;0.037;0.0795;SHORT;0.632738
49f6c0d0e72f432cb5ffd149ce80ba8c;M;0.6;0.47;1550.0;1.036;0.4375;0.196;0.325;SHORT;3.19208
a292093387104a5ca48fae0cb4948115;I;0.355;0.26;900.0;0.1985;0.0715;0.0495;0.058;SHORT;0.7149004999999999
fa6683537c034a049f3c9809d266fd96;F;0.605;0.48;1750.0;1.1685;0.4815;0.2305;0.356;SHORT;1.97439075
19093803dcd64dc28ef64825b1c47991;I;0.51;0.4;1250.0;0.5935;0.239;0.13;0.204;SHORT;2.45
8320e88ca5194fbdac659199f62c4e50;M;0.7;0.545;2150.0;1.25;0.8825;0.4385;0.506;TALL;2.6768467499999997
34fe54de306940fc882e2e330daaa88a;F;0.615;0.52;1500.0;1.35;0.629;0.2605;0.345;SHORT;2.7314410000000002
a6b6a39419cf41a8b6e77c1307f98fb1;F;0.505;0.385;1350.0;0.6185;0.251;0.1175;0.2;SHORT;2.59403125
42fa7f8c59ad45a28f59ceeeb90d14ae;I;0.165;0.12;500.0;0.021;0.0075;0.0045;0.014;SHORT;0.49506075000000005
5c024880c0af48c8b86ffb885234c647;M;0.61;;1850.0;1.65;0.6895;0.2915;0.29;SHORT;1.3899445
9fc2fe4038154440bd5f16223f99d5e4;I;0.62;0.47;1400.0000000000002;0.8565;0.3595;0.16;0.295;SHORT;1.12
73409b3054774a51bc0f2f226f9e058a;I;0.34;0.26;800.0;0.2;0.08;0.0555;0.055;SHORT;0.6861605000000001
bd93d06b83ae47acade178c394add644;M;0.52;0.4;1200.0;0.58;0.234;0.1315;0.185;SHORT;2.149169
04a0667e37274efb8f1625ee86f46cb0;M;0.255;0.195;650.0;0.08;0.0315;0.018;0.027;SHORT;0.765972
94c8c06bab9e4acd89485538b8b7bd1b;I;0.42;0.32;1150.0;0.409;0.2055;0.0935;0.105;SHORT;0.8574845
00904177b76a4798adf9c5b9d4f7fc8d;M;0.62;;2000.0;0.858;0.4285;0.1525;0.2405;SHORT;2.573025
5afa2dcc0e5348b9a8165496ccc7e6f3;F;0.645;0.505;1650.0;1.25;0.684;0.308;0.336;SHORT;2.2195920000000005
86f062d9e19c4e38b60feef35c73f2a8;I;0.48;0.355;1100.0;0.4495;0.201;0.089;0.14;SHORT;1.951684
